variant,id,task_list,limit,last_executed_timepoint,result
robust-second,2,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=261', 'order_lettuce_tomato_salad(client2)@delay=339@deadline=541', 'order_lettuce_tomato_salad(client3)@delay=597@deadline=880', 'order_lettuce_tomato_salad(client4)@delay=887@deadline=1177', 'order_lettuce_salad(client5)@delay=1188@deadline=1380']",1380,0,Timeout
robust-second,3,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=150', 'order_lettuce_tomato_salad(client2)@delay=192@deadline=404', 'order_lettuce_tomato_salad(client3)@delay=494@deadline=660', 'order_lettuce_salad(client4)@delay=732@deadline=860', 'order_lettuce_salad(client5)@delay=878@deadline=1047']",1047,0,Timeout
robust-second,4,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=173', 'order_lettuce_salad(client2)@delay=213@deadline=378', 'order_lettuce_tomato_salad(client3)@delay=391@deadline=618', 'order_lettuce_tomato_salad(client4)@delay=708@deadline=889', 'order_lettuce_tomato_salad(client5)@delay=958@deadline=1160']",1160,0,Timeout
robust-second,0,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=257', 'order_lettuce_salad(client2)@delay=33@deadline=198', 'order_lettuce_tomato_salad(client3)@delay=308@deadline=535', 'order_lettuce_tomato_salad(client4)@delay=243@deadline=542', 'order_lettuce_salad(client5)@delay=599@deadline=716']",716,0,Timeout
robust-second,1,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=185', 'order_lettuce_salad(client2)@delay=79@deadline=211', 'order_lettuce_salad(client3)@delay=224@deadline=336', 'order_lettuce_salad(client4)@delay=298@deadline=440', 'order_lettuce_tomato_salad(client5)@delay=407@deadline=582']",582,0,Timeout
robust-second,2,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=261', 'order_lettuce_tomato_salad(client2)@delay=78@deadline=280', 'order_lettuce_tomato_salad(client3)@delay=317@deadline=600', 'order_lettuce_tomato_salad(client4)@delay=287@deadline=577', 'order_lettuce_salad(client5)@delay=611@deadline=803']",803,0,Timeout
robust-second,3,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=150', 'order_lettuce_tomato_salad(client2)@delay=42@deadline=254', 'order_lettuce_tomato_salad(client3)@delay=240@deadline=406', 'order_lettuce_salad(client4)@delay=326@deadline=454', 'order_lettuce_salad(client5)@delay=424@deadline=593']",593,0,Timeout
robust-second,4,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=173', 'order_lettuce_salad(client2)@delay=40@deadline=205', 'order_lettuce_tomato_salad(client3)@delay=186@deadline=413', 'order_lettuce_tomato_salad(client4)@delay=295@deadline=476', 'order_lettuce_tomato_salad(client5)@delay=482@deadline=684']",684,0,Timeout
robust-second,0,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=257', 'order_lettuce_salad(client2)@delay=33@deadline=198', 'order_lettuce_tomato_salad(client3)@delay=51@deadline=278', 'order_lettuce_tomato_salad(client4)@delay=302@deadline=601', 'order_lettuce_salad(client5)@delay=262@deadline=379']",601,0,Timeout
robust-second,1,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=185', 'order_lettuce_salad(client2)@delay=79@deadline=211', 'order_lettuce_salad(client3)@delay=39@deadline=151', 'order_lettuce_salad(client4)@delay=272@deadline=414', 'order_lettuce_tomato_salad(client5)@delay=282@deadline=457']",457,0,Timeout
robust-second,2,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=261', 'order_lettuce_tomato_salad(client2)@delay=78@deadline=280', 'order_lettuce_tomato_salad(client3)@delay=56@deadline=339', 'order_lettuce_tomato_salad(client4)@delay=268@deadline=558', 'order_lettuce_salad(client5)@delay=291@deadline=483']",558,0,Timeout
robust-second,3,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=150', 'order_lettuce_tomato_salad(client2)@delay=42@deadline=254', 'order_lettuce_tomato_salad(client3)@delay=90@deadline=256', 'order_lettuce_salad(client4)@delay=222@deadline=350', 'order_lettuce_salad(client5)@delay=272@deadline=441']",441,0,Timeout
robust-second,4,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=173', 'order_lettuce_salad(client2)@delay=40@deadline=205', 'order_lettuce_tomato_salad(client3)@delay=13@deadline=240', 'order_lettuce_tomato_salad(client4)@delay=263@deadline=444', 'order_lettuce_tomato_salad(client5)@delay=274@deadline=476']",476,0,Timeout
robust-second,0,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=257', 'order_lettuce_salad(client2)@delay=33@deadline=198', 'order_lettuce_tomato_salad(client3)@delay=51@deadline=278', 'order_lettuce_tomato_salad(client4)@delay=45@deadline=344', 'order_lettuce_salad(client5)@delay=321@deadline=438']",438,0,Timeout
robust-second,1,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=185', 'order_lettuce_salad(client2)@delay=79@deadline=211', 'order_lettuce_salad(client3)@delay=39@deadline=151', 'order_lettuce_salad(client4)@delay=87@deadline=229', 'order_lettuce_tomato_salad(client5)@delay=256@deadline=431']",431,0,Timeout
robust-second,2,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=261', 'order_lettuce_tomato_salad(client2)@delay=78@deadline=280', 'order_lettuce_tomato_salad(client3)@delay=56@deadline=339', 'order_lettuce_tomato_salad(client4)@delay=7@deadline=297', 'order_lettuce_salad(client5)@delay=272@deadline=464']",464,0,Timeout
robust-second,3,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=150', 'order_lettuce_tomato_salad(client2)@delay=42@deadline=254', 'order_lettuce_tomato_salad(client3)@delay=90@deadline=256', 'order_lettuce_salad(client4)@delay=72@deadline=200', 'order_lettuce_salad(client5)@delay=168@deadline=337']",337,0,Timeout
robust-second,4,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=173', 'order_lettuce_salad(client2)@delay=40@deadline=205', 'order_lettuce_tomato_salad(client3)@delay=13@deadline=240', 'order_lettuce_tomato_salad(client4)@delay=90@deadline=271', 'order_lettuce_tomato_salad(client5)@delay=242@deadline=444']",444,0,Timeout
robust-third,0,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=257', 'order_lettuce_salad(client2)@delay=290@deadline=455', 'order_lettuce_tomato_salad(client3)@delay=506@deadline=733', 'order_lettuce_tomato_salad(client4)@delay=778@deadline=1077', 'order_lettuce_salad(client5)@delay=1141@deadline=1258']",1258,0,Timeout
robust-third,1,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=185', 'order_lettuce_salad(client2)@delay=264@deadline=396', 'order_lettuce_salad(client3)@delay=435@deadline=547', 'order_lettuce_salad(client4)@delay=634@deadline=776', 'order_lettuce_tomato_salad(client5)@delay=847@deadline=1022']",1022,0,Timeout
robust-third,2,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=261', 'order_lettuce_tomato_salad(client2)@delay=339@deadline=541', 'order_lettuce_tomato_salad(client3)@delay=597@deadline=880', 'order_lettuce_tomato_salad(client4)@delay=887@deadline=1177', 'order_lettuce_salad(client5)@delay=1188@deadline=1380']",1380,0,Timeout
robust-third,3,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=150', 'order_lettuce_tomato_salad(client2)@delay=192@deadline=404', 'order_lettuce_tomato_salad(client3)@delay=494@deadline=660', 'order_lettuce_salad(client4)@delay=732@deadline=860', 'order_lettuce_salad(client5)@delay=878@deadline=1047']",1047,200,Inconsistent
robust-third,4,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=173', 'order_lettuce_salad(client2)@delay=213@deadline=378', 'order_lettuce_tomato_salad(client3)@delay=391@deadline=618', 'order_lettuce_tomato_salad(client4)@delay=708@deadline=889', 'order_lettuce_tomato_salad(client5)@delay=958@deadline=1160']",1160,405,Inconsistent
robust-third,0,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=257', 'order_lettuce_salad(client2)@delay=33@deadline=198', 'order_lettuce_tomato_salad(client3)@delay=308@deadline=535', 'order_lettuce_tomato_salad(client4)@delay=243@deadline=542', 'order_lettuce_salad(client5)@delay=599@deadline=716']",716,20,Failure
robust-third,1,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=185', 'order_lettuce_salad(client2)@delay=79@deadline=211', 'order_lettuce_salad(client3)@delay=224@deadline=336', 'order_lettuce_salad(client4)@delay=298@deadline=440', 'order_lettuce_tomato_salad(client5)@delay=407@deadline=582']",582,0,Timeout
robust-third,2,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=261', 'order_lettuce_tomato_salad(client2)@delay=78@deadline=280', 'order_lettuce_tomato_salad(client3)@delay=317@deadline=600', 'order_lettuce_tomato_salad(client4)@delay=287@deadline=577', 'order_lettuce_salad(client5)@delay=611@deadline=803']",803,0,Timeout
robust-third,3,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=150', 'order_lettuce_tomato_salad(client2)@delay=42@deadline=254', 'order_lettuce_tomato_salad(client3)@delay=240@deadline=406', 'order_lettuce_salad(client4)@delay=326@deadline=454', 'order_lettuce_salad(client5)@delay=424@deadline=593']",593,40,Timeout
robust-third,4,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=173', 'order_lettuce_salad(client2)@delay=40@deadline=205', 'order_lettuce_tomato_salad(client3)@delay=186@deadline=413', 'order_lettuce_tomato_salad(client4)@delay=295@deadline=476', 'order_lettuce_tomato_salad(client5)@delay=482@deadline=684']",684,0,Timeout
robust-third,0,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=257', 'order_lettuce_salad(client2)@delay=33@deadline=198', 'order_lettuce_tomato_salad(client3)@delay=51@deadline=278', 'order_lettuce_tomato_salad(client4)@delay=302@deadline=601', 'order_lettuce_salad(client5)@delay=262@deadline=379']",601,20,Failure
robust-third,1,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=185', 'order_lettuce_salad(client2)@delay=79@deadline=211', 'order_lettuce_salad(client3)@delay=39@deadline=151', 'order_lettuce_salad(client4)@delay=272@deadline=414', 'order_lettuce_tomato_salad(client5)@delay=282@deadline=457']",457,0,Timeout
robust-third,2,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=261', 'order_lettuce_tomato_salad(client2)@delay=78@deadline=280', 'order_lettuce_tomato_salad(client3)@delay=56@deadline=339', 'order_lettuce_tomato_salad(client4)@delay=268@deadline=558', 'order_lettuce_salad(client5)@delay=291@deadline=483']",558,0,Timeout
robust-third,3,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=150', 'order_lettuce_tomato_salad(client2)@delay=42@deadline=254', 'order_lettuce_tomato_salad(client3)@delay=90@deadline=256', 'order_lettuce_salad(client4)@delay=222@deadline=350', 'order_lettuce_salad(client5)@delay=272@deadline=441']",441,0,Timeout
robust-third,4,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=173', 'order_lettuce_salad(client2)@delay=40@deadline=205', 'order_lettuce_tomato_salad(client3)@delay=13@deadline=240', 'order_lettuce_tomato_salad(client4)@delay=263@deadline=444', 'order_lettuce_tomato_salad(client5)@delay=274@deadline=476']",476,10,Timeout
robust-third,0,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=257', 'order_lettuce_salad(client2)@delay=33@deadline=198', 'order_lettuce_tomato_salad(client3)@delay=51@deadline=278', 'order_lettuce_tomato_salad(client4)@delay=45@deadline=344', 'order_lettuce_salad(client5)@delay=321@deadline=438']",438,0,Timeout
robust-third,1,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=185', 'order_lettuce_salad(client2)@delay=79@deadline=211', 'order_lettuce_salad(client3)@delay=39@deadline=151', 'order_lettuce_salad(client4)@delay=87@deadline=229', 'order_lettuce_tomato_salad(client5)@delay=256@deadline=431']",431,0,Timeout
robust-third,2,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=261', 'order_lettuce_tomato_salad(client2)@delay=78@deadline=280', 'order_lettuce_tomato_salad(client3)@delay=56@deadline=339', 'order_lettuce_tomato_salad(client4)@delay=7@deadline=297', 'order_lettuce_salad(client5)@delay=272@deadline=464']",464,0,Timeout
robust-third,3,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=150', 'order_lettuce_tomato_salad(client2)@delay=42@deadline=254', 'order_lettuce_tomato_salad(client3)@delay=90@deadline=256', 'order_lettuce_salad(client4)@delay=72@deadline=200', 'order_lettuce_salad(client5)@delay=168@deadline=337']",337,0,Timeout
robust-third,4,"['order_lettuce_tomato_salad(client1)@delay=0@deadline=173', 'order_lettuce_salad(client2)@delay=40@deadline=205', 'order_lettuce_tomato_salad(client3)@delay=13@deadline=240', 'order_lettuce_tomato_salad(client4)@delay=90@deadline=271', 'order_lettuce_tomato_salad(client5)@delay=242@deadline=444']",444,10,Timeout
